1,9,0.2938
1,12,0.2534
1,13,0.3839
1,19,0.19806
2,5,0.035558
2,13,0.43751
2,14,0.24109
2,21,0.25067
3,6,0.45471
3,8,0.40766
3,11,0.22263
3,16,0.49484
3,17,0.18205
3,18,0.20051
3,20,0.12878
3,22,0.34257
3,24,0.18496
4,5,0.34026
4,10,0.18919
4,13,0.33235
4,14,0.39199
4,15,0.31518
4,21,0.30038
4,23,0.47531
5,13,0.41767
5,14,0.20755
5,21,0.22578
6,8,0.10134
6,14,0.32205
6,16,0.04307
6,18,0.44053
6,20,0.32722
6,21,0.39848
6,23,0.23355
7,11,0.46465
7,25,0.34314
8,14,0.38624
8,16,0.13907
8,20,0.27963
8,21,0.4748
8,23,0.29963
9,12,0.20122
9,19,0.28694
10,15,0.20811
10,21,0.4735
11,17,0.040593
11,18,0.29976
11,20,0.34447
11,22,0.44491
11,24,0.086195
11,25,0.33121
12,19,0.11449
13,19,0.18587
13,21,0.19832
14,16,0.32614
14,21,0.10546
14,23,0.088586
16,18,0.48352
16,20,0.36809
16,21,0.39329
16,23,0.23929
17,18,0.27031
17,20,0.30426
17,22,0.41867
17,24,0.06931
17,25,0.35851
18,20,0.18973
18,22,0.15175
18,24,0.21602
20,22,0.28776
20,23,0.32307
20,24,0.28994
21,23,0.1777
22,24,0.35907
24,25,0.41736
